experiment,fault,proposed,reference,tasks,macro_rate_difference,bootstrap95_low,bootstrap95_high,bootstrap_draws
dynamic,,progress_only,dynamac_v4,8,-0.0875,-0.19,-0.005,10000
dynamic,,progress_dynamic_roles,progress_only,8,-0.0025000000000000005,-0.0475,0.04000000000000001,10000
dynamic,,full,progress_dynamic_roles,8,0.07250000000000001,-0.0225,0.195,10000
dynamic,,full,dynamac_v4,8,-0.0175,-0.0525,0.0125,10000
fault,grasp_failure,progress_only,dynamac_v4,8,-0.025,-0.085,0.0,10000
fault,grasp_failure,progress_dynamic_roles,progress_only,8,-0.065,-0.20750000000000002,0.0,10000
fault,grasp_failure,full,progress_dynamic_roles,8,0.7075,0.41500000000000004,0.9450000000000001,10000
fault,grasp_failure,full,dynamac_v4,8,0.6174999999999999,0.19743750000000004,0.9425,10000
fault,relation_mismatch,progress_only,dynamac_v4,8,-0.0925,-0.22,0.01,10000
fault,relation_mismatch,progress_dynamic_roles,progress_only,8,-0.0025,-0.02,0.01,10000
fault,relation_mismatch,full,progress_dynamic_roles,8,0.2475,0.0275,0.5075000000000001,10000
fault,relation_mismatch,full,dynamac_v4,8,0.1525,0.014999999999999998,0.3125624999999991,10000
fault,time_stall,progress_only,dynamac_v4,8,0.2075,-0.019999999999999993,0.485,10000
fault,time_stall,progress_dynamic_roles,progress_only,8,0.0325,-0.0075,0.0775,10000
fault,time_stall,full,progress_dynamic_roles,8,0.0775,-0.027499999999999997,0.20500000000000002,10000
fault,time_stall,full,dynamac_v4,8,0.3175,0.08,0.6025,10000
fault,unexpected_drop,progress_only,dynamac_v4,8,-0.295,-0.625,-0.035,10000
fault,unexpected_drop,progress_dynamic_roles,progress_only,8,0.030000000000000002,-0.0125,0.08499999999999999,10000
fault,unexpected_drop,full,progress_dynamic_roles,8,0.3075,0.0425,0.6174999999999999,10000
fault,unexpected_drop,full,dynamac_v4,8,0.04249999999999999,-0.3025,0.3850624999999991,10000
normal,,progress_only,dynamac_v4,8,-0.053750000000000006,-0.14875,0.015000000000000003,10000
normal,,progress_dynamic_roles,progress_only,8,-0.008125,-0.040625,0.02375,10000
normal,,full,progress_dynamic_roles,8,0.08875,0.009375,0.18437499999999998,10000
normal,,full,dynamac_v4,8,0.026874999999999996,0.004375,0.053750000000000006,10000
